Latent dimension = 1,	 RMSE = 1.8049397426375016,	 MAE = 1.5359881010993153
Latent dimension = 2,	 RMSE = 1.6926230423122994,	 MAE = 1.3289862717179903
Latent dimension = 3,	 RMSE = 3.5117225858161953,	 MAE = 3.1587275236006693
Latent dimension = 4,	 RMSE = 5.523900063124678,	 MAE = 5.266121549105108
Latent dimension = 5,	 RMSE = 7.618124986944288,	 MAE = 7.384988280074625
Latent dimension = 6,	 RMSE = 9.650728842211965,	 MAE = 9.432584818034531
Latent dimension = 7,	 RMSE = 11.68011357774446,	 MAE = 11.457242643826348
Latent dimension = 8,	 RMSE = 13.78501655677579,	 MAE = 13.545179557328627
Latent dimension = 9,	 RMSE = 15.662138846384124,	 MAE = 15.399955940718229
Latent dimension = 10,	 RMSE = 17.639897546329358,	 MAE = 17.34122519248061
Latent dimension = 11,	 RMSE = 19.673161012927885,	 MAE = 19.33316266489515
Latent dimension = 12,	 RMSE = 21.52974757569054,	 MAE = 21.146334782222755
Latent dimension = 13,	 RMSE = 23.515346045652414,	 MAE = 23.07901723811736
Latent dimension = 14,	 RMSE = 25.47594528988456,	 MAE = 24.975408962737195
Latent dimension = 15,	 RMSE = 27.39445544124309,	 MAE = 26.830483109648885
Latent dimension = 16,	 RMSE = 29.32162016488534,	 MAE = 28.69116699146067
Latent dimension = 17,	 RMSE = 31.081551041748106,	 MAE = 30.382830597384405
Latent dimension = 18,	 RMSE = 33.024010471987744,	 MAE = 32.24037425974065
Latent dimension = 19,	 RMSE = 34.84082293397578,	 MAE = 33.96713401055401
Latent dimension = 20,	 RMSE = 36.75281789106696,	 MAE = 35.791186998890524
Latent dimension = 21,	 RMSE = 38.54595053494651,	 MAE = 37.487471681939006
Latent dimension = 22,	 RMSE = 40.37003294291217,	 MAE = 39.21116857428001
Latent dimension = 23,	 RMSE = 42.124532548023105,	 MAE = 40.86827418570566
Latent dimension = 24,	 RMSE = 43.95338828869713,	 MAE = 42.58813730595182
Latent dimension = 25,	 RMSE = 45.804520694497796,	 MAE = 44.324939849854346
Latent dimension = 26,	 RMSE = 47.48792341871852,	 MAE = 45.905359055271525
Latent dimension = 27,	 RMSE = 49.32898060785864,	 MAE = 47.61138185294923
Latent dimension = 28,	 RMSE = 51.05312634875881,	 MAE = 49.21037021739371
Latent dimension = 29,	 RMSE = 52.792587937733764,	 MAE = 50.82335224367135
Latent dimension = 30,	 RMSE = 54.47759622624237,	 MAE = 52.3819704914907
Latent dimension = 31,	 RMSE = 56.379069809385555,	 MAE = 54.137271782048266
Latent dimension = 32,	 RMSE = 57.99306829746403,	 MAE = 55.62953390849026
Latent dimension = 33,	 RMSE = 59.798808263611406,	 MAE = 57.28150685972389
Latent dimension = 34,	 RMSE = 61.4838009423543,	 MAE = 58.82172778023031
Latent dimension = 35,	 RMSE = 63.15268884134122,	 MAE = 60.359779669905926
Latent dimension = 36,	 RMSE = 64.8123836556504,	 MAE = 61.862404474967704
Latent dimension = 37,	 RMSE = 66.66088521910478,	 MAE = 63.55084385045025
Latent dimension = 38,	 RMSE = 68.26961439055415,	 MAE = 65.00644090303481
Latent dimension = 39,	 RMSE = 70.0586841562573,	 MAE = 66.620763689952
Latent dimension = 40,	 RMSE = 71.53281783038622,	 MAE = 67.93934748293877
Latent dimension = 41,	 RMSE = 73.20204039995389,	 MAE = 69.4629444755085
Latent dimension = 42,	 RMSE = 75.01386152053466,	 MAE = 71.08417337136824
Latent dimension = 43,	 RMSE = 76.58415843928296,	 MAE = 72.48301799672427
Latent dimension = 44,	 RMSE = 78.21974439426512,	 MAE = 73.963767847966
Latent dimension = 45,	 RMSE = 79.77276249317961,	 MAE = 75.36021719252356
Latent dimension = 46,	 RMSE = 81.50828302992335,	 MAE = 76.90315146009382
Latent dimension = 47,	 RMSE = 83.19333729738828,	 MAE = 78.3794715823824
Latent dimension = 48,	 RMSE = 84.71199683794235,	 MAE = 79.72912107729398
Latent dimension = 49,	 RMSE = 86.42721870914481,	 MAE = 81.25840025949178
Latent dimension = 50,	 RMSE = 88.0121371630518,	 MAE = 82.65414216781546

	lambda=0.2;
		eta=0.001;

		predictionLowerBound=1;
		predictionUpperBound=5;

		convergeSampleProportion=0.1;
		convergeThreshold=0.0000000001;
		convergeCheckWindowSize=trainSet.size()*0.3;


		double middleValue=((predictionUpperBound-predictionLowerBound)/2)/latentDimension;
		double lower_bound_init=1;
		double upper_bound_init=2;

