Latent dimension = 1,	 RMSE = 2.8901642852195577,	 MAE = 2.5875896707522985
Latent dimension = 2,	 RMSE = 2.2483854130504897,	 MAE = 1.8982153062971316
Latent dimension = 3,	 RMSE = 1.9606975484605678,	 MAE = 1.606587055621509   optimal
Latent dimension = 4,	 RMSE = 2.0985449286946256,	 MAE = 1.6637437992445068
Latent dimension = 5,	 RMSE = 2.6674533435695014,	 MAE = 2.088608272326522
Latent dimension = 6,	 RMSE = 3.40218287949694,	 MAE = 2.744683239331327
Latent dimension = 7,	 RMSE = 4.206695166130335,	 MAE = 3.512976338691022
Latent dimension = 8,	 RMSE = 5.103019937820906,	 MAE = 4.3977773449706055
Latent dimension = 9,	 RMSE = 5.86148515547323,	 MAE = 5.182544746689907
Latent dimension = 10,	 RMSE = 6.95129550563435,	 MAE = 6.280723551941043
Latent dimension = 11,	 RMSE = 7.8168567809118885,	 MAE = 7.166482841330866
Latent dimension = 12,	 RMSE = 8.66722316046001,	 MAE = 8.045505732963376
Latent dimension = 13,	 RMSE = 9.610703197677138,	 MAE = 9.017662179097302
Latent dimension = 14,	 RMSE = 10.46899248431399,	 MAE = 9.86193913368171
Latent dimension = 15,	 RMSE = 11.509200318894953,	 MAE = 10.879831748080637
Latent dimension = 16,	 RMSE = 12.294077730305101,	 MAE = 11.712960923787984
Latent dimension = 17,	 RMSE = 13.101078375300483,	 MAE = 12.508037406298246
Latent dimension = 18,	 RMSE = 14.121468950300397,	 MAE = 13.525396588163298
Latent dimension = 19,	 RMSE = 15.11926202356861,	 MAE = 14.508766772737568
Latent dimension = 20,	 RMSE = 15.785135854708926,	 MAE = 15.168133755170752
Latent dimension = 21,	 RMSE = 16.653515732821084,	 MAE = 16.025360211912663
Latent dimension = 22,	 RMSE = 17.618491614146954,	 MAE = 16.99001036587203
Latent dimension = 23,	 RMSE = 18.586696300888832,	 MAE = 17.933371548343516
Latent dimension = 24,	 RMSE = 19.25933111693248,	 MAE = 18.616212266392747
Latent dimension = 25,	 RMSE = 20.155171100954778,	 MAE = 19.492304827689445
Latent dimension = 26,	 RMSE = 21.160896951314133,	 MAE = 20.46014125319355
Latent dimension = 27,	 RMSE = 21.766743908619368,	 MAE = 21.05918862590014
Latent dimension = 28,	 RMSE = 22.777758782310464,	 MAE = 22.041178829630635
Latent dimension = 29,	 RMSE = 23.711191821193204,	 MAE = 22.938669406978615
Latent dimension = 30,	 RMSE = 24.42364658839069,	 MAE = 23.636614996884383
Latent dimension = 31,	 RMSE = 25.357501743344308,	 MAE = 24.559059650567885
Latent dimension = 32,	 RMSE = 26.26729155429562,	 MAE = 25.434442032853717
Latent dimension = 33,	 RMSE = 27.114679945114126,	 MAE = 26.250006861500463
Latent dimension = 34,	 RMSE = 27.646392129387458,	 MAE = 26.759633320789042
Latent dimension = 35,	 RMSE = 28.710547508536926,	 MAE = 27.789878353859155
Latent dimension = 36,	 RMSE = 29.43276079582362,	 MAE = 28.49979464060767
Latent dimension = 37,	 RMSE = 30.385592242115234,	 MAE = 29.389031150187115
Latent dimension = 38,	 RMSE = 31.180077060773506,	 MAE = 30.167360514673323
Latent dimension = 39,	 RMSE = 32.30799106662916,	 MAE = 31.259740278285438
Latent dimension = 40,	 RMSE = 33.141041003692536,	 MAE = 32.043358462576364
Latent dimension = 41,	 RMSE = 33.75606803646115,	 MAE = 32.62281179957593
Latent dimension = 42,	 RMSE = 34.70559124723525,	 MAE = 33.550870587276606
Latent dimension = 43,	 RMSE = 35.26695324259923,	 MAE = 34.0833488998759
Latent dimension = 44,	 RMSE = 36.13317732547402,	 MAE = 34.91198412601117
Latent dimension = 45,	 RMSE = 37.108447712001954,	 MAE = 35.82506729688824
Latent dimension = 46,	 RMSE = 37.81122238730875,	 MAE = 36.49493805108542
Latent dimension = 47,	 RMSE = 38.47037931289306,	 MAE = 37.10010158122637
Latent dimension = 48,	 RMSE = 39.620541036669685,	 MAE = 38.20444429439512
Latent dimension = 49,	 RMSE = 40.42265092306307,	 MAE = 38.947712902297056
Latent dimension = 50,	 RMSE = 40.95066943492502,	 MAE = 39.46538138079495

		lambda=0.2;
		eta=0.001;

		predictionLowerBound=1;
		predictionUpperBound=5;

		convergeSampleProportion=0.1;
		convergeThreshold=0.0000000001;
		convergeCheckWindowSize=trainSet.size()*0.3;


		double middleValue=((predictionUpperBound-predictionLowerBound)/2)/latentDimension;
		double lower_bound_init=0;
		double upper_bound_init=2;



