Latent dimension = 1,	 RMSE = 2.6064829130386187,	 MAE = 2.2465349682951823 optimal
Latent dimension = 2,	 RMSE = 2.9408116237171766,	 MAE = 2.6863389387482726
Latent dimension = 3,	 RMSE = 3.1852132706395517,	 MAE = 2.9682226421417957
Latent dimension = 4,	 RMSE = 3.302130407577059,	 MAE = 3.0994029323576853
Latent dimension = 5,	 RMSE = 3.379763658421563,	 MAE = 3.1847730339562093
Latent dimension = 6,	 RMSE = 3.4277399130941406,	 MAE = 3.2368241996398113
Latent dimension = 7,	 RMSE = 3.467480529347194,	 MAE = 3.2791832134813914
Latent dimension = 8,	 RMSE = 3.496152404346249,	 MAE = 3.3098547485173064
Latent dimension = 9,	 RMSE = 3.5166792240008897,	 MAE = 3.3316375209251143
Latent dimension = 10,	 RMSE = 3.536034748358932,	 MAE = 3.3522554170557664
Latent dimension = 11,	 RMSE = 3.5514367352376355,	 MAE = 3.368523074895279
Latent dimension = 12,	 RMSE = 3.5635837520746145,	 MAE = 3.3814402704757223
Latent dimension = 13,	 RMSE = 3.5736334342592473,	 MAE = 3.3919644487152687
Latent dimension = 14,	 RMSE = 3.5829739934097957,	 MAE = 3.4019822171993352
Latent dimension = 15,	 RMSE = 3.5902269823409236,	 MAE = 3.409444366527004
Latent dimension = 16,	 RMSE = 3.5964170743900867,	 MAE = 3.4162102195106585
Latent dimension = 17,	 RMSE = 3.6030630574116187,	 MAE = 3.4230899528801046
Latent dimension = 18,	 RMSE = 3.6092254290661208,	 MAE = 3.4296085158323963
Latent dimension = 19,	 RMSE = 3.613018571044402,	 MAE = 3.433586708374007
Latent dimension = 20,	 RMSE = 3.617434352618124,	 MAE = 3.4382253012589272
Latent dimension = 21,	 RMSE = 3.6214598529037167,	 MAE = 3.442541498512957
Latent dimension = 22,	 RMSE = 3.6252039137770895,	 MAE = 3.44638139451098
Latent dimension = 23,	 RMSE = 3.6280807000279522,	 MAE = 3.449483448064435
Latent dimension = 24,	 RMSE = 3.63103908965416,	 MAE = 3.4525556535818596
Latent dimension = 25,	 RMSE = 3.6338384612107753,	 MAE = 3.455555689473168
Latent dimension = 26,	 RMSE = 3.636054282115002,	 MAE = 3.4578539038552547
Latent dimension = 27,	 RMSE = 3.638839322832532,	 MAE = 3.4608248801243264
Latent dimension = 28,	 RMSE = 3.640534912115207,	 MAE = 3.4625489551009068
Latent dimension = 29,	 RMSE = 3.6429373658321773,	 MAE = 3.4651060700271996
Latent dimension = 30,	 RMSE = 3.6447799042467883,	 MAE = 3.4670675128175814
Latent dimension = 31,	 RMSE = 3.6464444283393918,	 MAE = 3.468759976779767
Latent dimension = 32,	 RMSE = 3.648321042011265,	 MAE = 3.470745626688172
Latent dimension = 33,	 RMSE = 3.649694938858493,	 MAE = 3.4722052455446275
Latent dimension = 34,	 RMSE = 3.65127728435399,	 MAE = 3.473871168584991
Latent dimension = 35,	 RMSE = 3.6523363095976302,	 MAE = 3.4750405817973125
Latent dimension = 36,	 RMSE = 3.6539042726965647,	 MAE = 3.476590375458536
Latent dimension = 37,	 RMSE = 3.6550227660817454,	 MAE = 3.4778004097083985
Latent dimension = 38,	 RMSE = 3.6561474291226985,	 MAE = 3.478982508251775
Latent dimension = 39,	 RMSE = 3.657282403390064,	 MAE = 3.4801664776960997
Latent dimension = 40,	 RMSE = 3.6584430808776576,	 MAE = 3.4813946026207887
Latent dimension = 41,	 RMSE = 3.6593385354503183,	 MAE = 3.48231603524926
Latent dimension = 42,	 RMSE = 3.6604033814993544,	 MAE = 3.4834696699794696
Latent dimension = 43,	 RMSE = 3.6613908985199273,	 MAE = 3.4845233893688077
Latent dimension = 44,	 RMSE = 3.6621394793615374,	 MAE = 3.485263036697134
Latent dimension = 45,	 RMSE = 3.662691866042781,	 MAE = 3.4858580354283126
Latent dimension = 46,	 RMSE = 3.6636273116608096,	 MAE = 3.486858450530563
Latent dimension = 47,	 RMSE = 3.6645877489403604,	 MAE = 3.4878525260928064
Latent dimension = 48,	 RMSE = 3.6653054462072974,	 MAE = 3.4885989973871325
Latent dimension = 49,	 RMSE = 3.665817900705309,	 MAE = 3.489155912570358
Latent dimension = 50,	 RMSE = 3.6665497669692364,	 MAE = 3.4899108047570637
Latent dimension = 51,	 RMSE = 3.667135622902582,	 MAE = 3.490540880955988
Latent dimension = 52,	 RMSE = 3.667850195804236,	 MAE = 3.491287054944351
Latent dimension = 53,	 RMSE = 3.668508189756328,	 MAE = 3.4919872595765846
Latent dimension = 54,	 RMSE = 3.6690053413885977,	 MAE = 3.492510423070488
Latent dimension = 55,	 RMSE = 3.669478436033201,	 MAE = 3.4929950640200347
Latent dimension = 56,	 RMSE = 3.669963150931519,	 MAE = 3.4935134224294666
Latent dimension = 57,	 RMSE = 3.670481008234971,	 MAE = 3.4940527059876216
Latent dimension = 58,	 RMSE = 3.670906356192822,	 MAE = 3.494497491188433
Latent dimension = 59,	 RMSE = 3.671465589603083,	 MAE = 3.4950809275306147
Latent dimension = 60,	 RMSE = 3.6720014395252027,	 MAE = 3.4956454890827198


lambda=0.2;
eta=0.001;


convergeSampleProportion=0.1;
convergeThreshold=0.0000000001;
		convergeCheckWindowSize=trainSet.size()*0.3;


		double middleValue=((predictionUpperBound-predictionLowerBound)/2)/latentDimension;
		double lower_bound_init=0;
		double upper_bound_init=middleValue+middleValue*0.3;
