Latent dimension = 1,	RMSE = 3.3915302756574435,	 MAE = 3.1877598535940015
Latent dimension = 2,	RMSE = 3.098462030001835,	 MAE = 2.8654240960595967
Latent dimension = 3,	RMSE = 2.847115088800483,	 MAE = 2.5906950068616066
Latent dimension = 4,	RMSE = 2.6011588327814437,	 MAE = 2.3305717989740757
Latent dimension = 5,	RMSE = 2.3777189563235104,	 MAE = 2.0955040943351095
Latent dimension = 6,	RMSE = 2.1779483854598665,	 MAE = 1.8934344376497587
Latent dimension = 7,	RMSE = 1.9830055823039108,	 MAE = 1.7001157794322268
Latent dimension = 8,	RMSE = 1.8394825986938521,	 MAE = 1.5611248691704938
Latent dimension = 9,	RMSE = 1.670104669830748,	 MAE = 1.4009300350884106
Latent dimension = 10,	RMSE = 1.562613836072831,	 MAE = 1.2991817133890644
Latent dimension = 11,	RMSE = 1.4566884749987004,	 MAE = 1.2017579935264386
Latent dimension = 12,	RMSE = 1.3863811325572246,	 MAE = 1.1360325580369257
Latent dimension = 13,	RMSE = 1.3488778895191373,	 MAE = 1.0970170016499843
Latent dimension = 14,	RMSE = 1.3408719827733724,	 MAE = 1.0814935827330052 optimal
Latent dimension = 15,	RMSE = 1.3550490333093839,	 MAE = 1.081528994769072
Latent dimension = 16,	RMSE = 1.4135701563892806,	 MAE = 1.1187906251906434
Latent dimension = 17,	RMSE = 1.4706263373878747,	 MAE = 1.1579867082620015
Latent dimension = 18,	RMSE = 1.5707026259676395,	 MAE = 1.2310297583857088
Latent dimension = 19,	RMSE = 1.6353615592425488,	 MAE = 1.2812446099300279
Latent dimension = 20,	RMSE = 1.7684363050629166,	 MAE = 1.3879294174814063
Latent dimension = 21,	RMSE = 1.885290808937206,	 MAE = 1.4946722430432267
Latent dimension = 22,	RMSE = 2.0529282998727774,	 MAE = 1.6427411781374854
Latent dimension = 23,	RMSE = 2.1576028315405082,	 MAE = 1.742135480910168
Latent dimension = 24,	RMSE = 2.2715799617759442,	 MAE = 1.8400256476788417
Latent dimension = 25,	RMSE = 2.4499561893753365,	 MAE = 2.00717240018568
Latent dimension = 26,	RMSE = 2.5796739478936446,	 MAE = 2.126418840142668
Latent dimension = 27,	RMSE = 2.6995845668976686,	 MAE = 2.241511388801427
Latent dimension = 28,	RMSE = 2.857189546625462,	 MAE = 2.3801887348574713
Latent dimension = 29,	RMSE = 2.9901853853478917,	 MAE = 2.515675600655011
Latent dimension = 30,	RMSE = 3.132201028540419,	 MAE = 2.641424366731058
Latent dimension = 31,	RMSE = 3.246715429139948,	 MAE = 2.7510410692365577
Latent dimension = 32,	RMSE = 3.414468367585298,	 MAE = 2.898375051621332
Latent dimension = 33,	RMSE = 3.569622549677984,	 MAE = 3.0438796714112937
Latent dimension = 34,	RMSE = 3.6729556048760914,	 MAE = 3.1356168788529315
Latent dimension = 35,	RMSE = 3.836065700222065,	 MAE = 3.2809117966451873
Latent dimension = 36,	RMSE = 3.964772735617859,	 MAE = 3.3901940128604253
Latent dimension = 37,	RMSE = 4.0912244981125045,	 MAE = 3.505299719028487
Latent dimension = 38,	RMSE = 4.205550487094716,	 MAE = 3.601593922525435
Latent dimension = 39,	RMSE = 4.378276818656043,	 MAE = 3.7418740245141238
Latent dimension = 40,	RMSE = 4.5273742584841274,	 MAE = 3.8746104018929186
Latent dimension = 41,	RMSE = 4.700104988805165,	 MAE = 4.02708207536819
Latent dimension = 42,	RMSE = 4.841473197215842,	 MAE = 4.133561548514271
Latent dimension = 43,	RMSE = 4.915096419279891,	 MAE = 4.197541432761878
Latent dimension = 44,	RMSE = 5.045458831567499,	 MAE = 4.302209269203474
Latent dimension = 45,	RMSE = 5.222467715638979,	 MAE = 4.443055107392572
Latent dimension = 46,	RMSE = 5.3401890218862444,	 MAE = 4.549189613627195
Latent dimension = 47,	RMSE = 5.460916478059329,	 MAE = 4.651916228058146
Latent dimension = 48,	RMSE = 5.5632485151171105,	 MAE = 4.725562564928261
Latent dimension = 49,	RMSE = 5.700785547304447,	 MAE = 4.830769283685564
Latent dimension = 50,	RMSE = 5.875191548390741,	 MAE = 4.972379297048299

		//initilization
		lambda=0.0001;
		eta=0.02;

		predictionLowerBound=1;
		predictionUpperBound=5;

		convergeSampleProportion=1;// select all the training example to calculate the cost function
		convergeThreshold=0.0000001;
		convergeCheckWindowSize=trainSet.size()*0.3;  // for every "convergeCheckWindowSize" number updates, check if converge

