Latent dimension = 1,	 RMSE = 2.7544082499859877,	 MAE = 2.5173458416831296
Latent dimension = 2,	 RMSE = 1.8824006248651934,	 MAE = 1.6392867105489237
Latent dimension = 3,	 RMSE = 1.2392362613569878,	 MAE = 1.0106548312958172
Latent dimension = 4,	 RMSE = 1.2161163217545,	 MAE = 0.913513727943303 optimal
Latent dimension = 5,	 RMSE = 1.8280585723453762,	 MAE = 1.4641286289288415
Latent dimension = 6,	 RMSE = 2.6598368077543344,	 MAE = 2.4061874589735077
Latent dimension = 7,	 RMSE = 3.558305363482906,	 MAE = 3.36960479032305
Latent dimension = 8,	 RMSE = 4.470956919701051,	 MAE = 4.317841401664159
Latent dimension = 9,	 RMSE = 5.393726043389154,	 MAE = 5.262047406179924
Latent dimension = 10,	 RMSE = 6.3282919457525235,	 MAE = 6.20967031961393
Latent dimension = 11,	 RMSE = 7.248919069077745,	 MAE = 7.137583362766856
Latent dimension = 12,	 RMSE = 8.163342252255777,	 MAE = 8.055283177903089
Latent dimension = 13,	 RMSE = 9.089640623593263,	 MAE = 8.981777694885832
Latent dimension = 14,	 RMSE = 9.99641103232684,	 MAE = 9.88593772011389
Latent dimension = 15,	 RMSE = 10.908082208888743,	 MAE = 10.793347277365353
Latent dimension = 16,	 RMSE = 11.815748871090435,	 MAE = 11.694294144834675
Latent dimension = 17,	 RMSE = 12.720646211309091,	 MAE = 12.591052269900633
Latent dimension = 18,	 RMSE = 13.614663901029008,	 MAE = 13.475507259704699
Latent dimension = 19,	 RMSE = 14.516182010976735,	 MAE = 14.365470275983776
Latent dimension = 20,	 RMSE = 15.405078461644598,	 MAE = 15.24164101499242
Latent dimension = 21,	 RMSE = 16.288958138079845,	 MAE = 16.11132944276745
Latent dimension = 22,	 RMSE = 17.17142025060512,	 MAE = 16.978290180962155
Latent dimension = 23,	 RMSE = 18.046624769323966,	 MAE = 17.836136719824626
Latent dimension = 24,	 RMSE = 18.93264155903183,	 MAE = 18.70347796813826
Latent dimension = 25,	 RMSE = 19.79657559658164,	 MAE = 19.54832777003598
Latent dimension = 26,	 RMSE = 20.66419359171487,	 MAE = 20.39484193907753
Latent dimension = 27,	 RMSE = 21.53552517375899,	 MAE = 21.243966003356512
Latent dimension = 28,	 RMSE = 22.39341604212206,	 MAE = 22.078910843640674
Latent dimension = 29,	 RMSE = 23.25407673299466,	 MAE = 22.915616386822872
Latent dimension = 30,	 RMSE = 24.11035132984683,	 MAE = 23.74603359704684
Latent dimension = 31,	 RMSE = 24.961554735032514,	 MAE = 24.570512164339046
Latent dimension = 32,	 RMSE = 25.8098546565027,	 MAE = 25.391166068478316
Latent dimension = 33,	 RMSE = 26.671685348076313,	 MAE = 26.223291997344045
Latent dimension = 34,	 RMSE = 27.50843893707215,	 MAE = 27.030230012830184
Latent dimension = 35,	 RMSE = 28.353887821565575,	 MAE = 27.84410430202372
Latent dimension = 36,	 RMSE = 29.183195493184037,	 MAE = 28.642298597174932
Latent dimension = 37,	 RMSE = 30.0286910951138,	 MAE = 29.454250464007526
Latent dimension = 38,	 RMSE = 30.863961800707234,	 MAE = 30.255476398992993
Latent dimension = 39,	 RMSE = 31.695231271399695,	 MAE = 31.050911155301833
Latent dimension = 40,	 RMSE = 32.52635024887681,	 MAE = 31.84599392067313
Latent dimension = 41,	 RMSE = 33.35510422431544,	 MAE = 32.637196788457814
Latent dimension = 42,	 RMSE = 34.17279047414203,	 MAE = 33.4168897972646
Latent dimension = 43,	 RMSE = 35.007806822675356,	 MAE = 34.212555179654586
Latent dimension = 44,	 RMSE = 35.81466896395316,	 MAE = 34.97871365193472
Latent dimension = 45,	 RMSE = 36.6453549168578,	 MAE = 35.76816205315468
Latent dimension = 46,	 RMSE = 37.44289434676304,	 MAE = 36.52583403755706
Latent dimension = 47,	 RMSE = 38.26407858258693,	 MAE = 37.303079138646495
Latent dimension = 48,	 RMSE = 39.065488260692334,	 MAE = 38.061455015167056
Latent dimension = 49,	 RMSE = 39.89302369676525,	 MAE = 38.842381954313005
Latent dimension = 50,	 RMSE = 40.69355399811284,	 MAE = 39.59858671803558
