Latent dimension = 1,	RMSE = 2.777498665633582,	 MAE = 2.529627401689031
Latent dimension = 2,	RMSE = 1.9104437289426222,	 MAE = 1.6696123861195395
Latent dimension = 3,	RMSE = 1.2689278449223256,	 MAE = 1.043657577004455
Latent dimension = 4,	RMSE = 1.2393015909744682,	 MAE = 0.9281536213953041
Latent dimension = 5,	RMSE = 1.8401341062192962,	 MAE = 1.456823353350178
Latent dimension = 6,	RMSE = 2.664384135663927,	 MAE = 2.3980796637962567
Latent dimension = 7,	RMSE = 3.561863782426286,	 MAE = 3.363534937279603
Latent dimension = 8,	RMSE = 4.479282957422735,	 MAE = 4.319069442835668
Latent dimension = 9,	RMSE = 5.40735874589783,	 MAE = 5.270145117402207
Latent dimension = 10,	RMSE = 6.330786862551207,	 MAE = 6.207296061885679
Latent dimension = 11,	RMSE = 7.260981775722271,	 MAE = 7.14690009231318
Latent dimension = 12,	RMSE = 8.18134423891515,	 MAE = 8.071978505780995
Latent dimension = 13,	RMSE = 9.098362568042708,	 MAE = 8.990837898405193
Latent dimension = 14,	RMSE = 10.017183175116035,	 MAE = 9.908590936028563
Latent dimension = 15,	RMSE = 10.929248659932274,	 MAE = 10.817725414424203
Latent dimension = 16,	RMSE = 11.841313758716158,	 MAE = 11.724766271479345
Latent dimension = 17,	RMSE = 12.744729145471355,	 MAE = 12.621894080231169
Latent dimension = 18,	RMSE = 13.651096873321794,	 MAE = 13.520190358257036
Latent dimension = 19,	RMSE = 14.548786774875627,	 MAE = 14.408871199469242
Latent dimension = 20,	RMSE = 15.436975314540508,	 MAE = 15.287822314745364
Latent dimension = 21,	RMSE = 16.342684791787523,	 MAE = 16.1811005769113
Latent dimension = 22,	RMSE = 17.207671075919396,	 MAE = 17.033395744213188
Latent dimension = 23,	RMSE = 18.10337580545014,	 MAE = 17.91545828729039
Latent dimension = 24,	RMSE = 18.977867480790312,	 MAE = 18.774690755061293
Latent dimension = 25,	RMSE = 19.84791578628901,	 MAE = 19.629967909520683
Latent dimension = 26,	RMSE = 20.712996466133557,	 MAE = 20.477910002803615
Latent dimension = 27,	RMSE = 21.592910046674074,	 MAE = 21.338900411388273
Latent dimension = 28,	RMSE = 22.447202468857004,	 MAE = 22.1743121270945
Latent dimension = 29,	RMSE = 23.321611523945805,	 MAE = 23.028472645364385
Latent dimension = 30,	RMSE = 24.172110648713293,	 MAE = 23.858758697871057
Latent dimension = 31,	RMSE = 25.022927523693234,	 MAE = 24.687323527883215
Latent dimension = 32,	RMSE = 25.867709752680536,	 MAE = 25.509904362687614
Latent dimension = 33,	RMSE = 26.727107704344473,	 MAE = 26.345429976446223
Latent dimension = 34,	RMSE = 27.565494426005205,	 MAE = 27.158812122299132
Latent dimension = 35,	RMSE = 28.40966884587879,	 MAE = 27.978517483356406
Latent dimension = 36,	RMSE = 29.229354006446084,	 MAE = 28.77267858329384
Latent dimension = 37,	RMSE = 30.08270178590892,	 MAE = 29.598860439457383
Latent dimension = 38,	RMSE = 30.90312763734446,	 MAE = 30.39213599629529
Latent dimension = 39,	RMSE = 31.735569800107008,	 MAE = 31.19493439083836
Latent dimension = 40,	RMSE = 32.56064000079261,	 MAE = 31.992483550435658
Latent dimension = 41,	RMSE = 33.37768144995244,	 MAE = 32.77971763854407
Latent dimension = 42,	RMSE = 34.22030637776754,	 MAE = 33.59063345519441
Latent dimension = 43,	RMSE = 35.02458791378981,	 MAE = 34.36305660882774
Latent dimension = 44,	RMSE = 35.835784753809584,	 MAE = 35.141929333535224
Latent dimension = 45,	RMSE = 36.64649008165775,	 MAE = 35.92029765489558
Latent dimension = 46,	RMSE = 37.459318878709134,	 MAE = 36.69916077231723
Latent dimension = 47,	RMSE = 38.25467497435398,	 MAE = 37.460581167329664
Latent dimension = 48,	RMSE = 39.071645669893826,	 MAE = 38.241464250652506
Latent dimension = 49,	RMSE = 39.86855753474597,	 MAE = 39.00272796436942
Latent dimension = 50,	RMSE = 40.669496173562266,	 MAE = 39.76733164375209
		lambda=0.2;
		eta=0.001;

		predictionLowerBound=1;
		predictionUpperBound=5;

		convergeSampleProportion=0.1;
		convergeThreshold=0.0000000001;
		convergeCheckWindowSize=trainSet.size()*0.3;


		double middleValue=((predictionUpperBound-predictionLowerBound)/2)/latentDimension;
		double lower_bound_init=0.95;
		double upper_bound_init=1.05;
