Latent dimension = 1,	RMSE = 2.284657661487048,	 MAE = 2.025567588572984
Latent dimension = 2,	RMSE = 1.425012276262878,	 MAE = 1.2138035515616312
Latent dimension = 3,	RMSE = 1.107622535414182,	 MAE = 0.9087204453592989
Latent dimension = 4,	RMSE = 1.4026483145014836,	 MAE = 1.09528187797327
Latent dimension = 5,	RMSE = 1.958445200774955,	 MAE = 1.5996874224905009
Latent dimension = 6,	RMSE = 2.567170033212791,	 MAE = 2.1594902778413396
Latent dimension = 7,	RMSE = 3.175628745977566,	 MAE = 2.6760097803660097
Latent dimension = 8,	RMSE = 3.7717980832465914,	 MAE = 3.1485051204379206
Latent dimension = 9,	RMSE = 4.35433231131404,	 MAE = 3.582416810520941
Latent dimension = 10,	RMSE = 4.925000093324473,	 MAE = 3.982768668029402
Latent dimension = 11,	RMSE = 5.4864964260978635,	 MAE = 4.354640533819766
Latent dimension = 12,	RMSE = 6.0417209563091685,	 MAE = 4.701013862927145
Latent dimension = 13,	RMSE = 6.5935110485700985,	 MAE = 5.025416369726215
Latent dimension = 14,	RMSE = 7.1445275235543235,	 MAE = 5.330848700292538
Latent dimension = 15,	RMSE = 7.697194574340616,	 MAE = 5.619103855133736
Latent dimension = 16,	RMSE = 8.253660717956834,	 MAE = 5.892363348303033
Latent dimension = 17,	RMSE = 8.815769553545175,	 MAE = 6.151529918943206
Latent dimension = 18,	RMSE = 9.385036006381558,	 MAE = 6.399522197306199
Latent dimension = 19,	RMSE = 9.962625429993679,	 MAE = 6.637336616619665
Latent dimension = 20,	RMSE = 10.549333319660025,	 MAE = 6.8638590133777715
Latent dimension = 21,	RMSE = 11.145564300261956,	 MAE = 7.08174808213723
Latent dimension = 22,	RMSE = 11.751311362702003,	 MAE = 7.290995368312902
Latent dimension = 23,	RMSE = 12.366139944170003,	 MAE = 7.488123044970168
Latent dimension = 24,	RMSE = 12.989185014111893,	 MAE = 7.678642707829487
Latent dimension = 25,	RMSE = 13.619170481679713,	 MAE = 7.883411366365363
Latent dimension = 26,	RMSE = 14.254457149329863,	 MAE = 8.149286684994784
Latent dimension = 27,	RMSE = 14.893118851954489,	 MAE = 8.537462314765405
Latent dimension = 28,	RMSE = 15.533040074641724,	 MAE = 9.036549107050622
Latent dimension = 29,	RMSE = 16.172026231329873,	 MAE = 9.600558817064975
Latent dimension = 30,	RMSE = 16.807920164274037,	 MAE = 10.187436583708706
Latent dimension = 31,	RMSE = 17.438720579793067,	 MAE = 10.790091611476209
Latent dimension = 32,	RMSE = 18.0626942025406,	 MAE = 11.409940239649593
Latent dimension = 33,	RMSE = 18.6784639272807,	 MAE = 12.041891244677814
Latent dimension = 34,	RMSE = 19.28505534322199,	 MAE = 12.685728395138394
Latent dimension = 35,	RMSE = 19.88192569997423,	 MAE = 13.340458478611058
Latent dimension = 36,	RMSE = 20.469104437114936,	 MAE = 14.006458708075295
Latent dimension = 37,	RMSE = 21.04766531520555,	 MAE = 14.69370831217291
Latent dimension = 38,	RMSE = 21.620583582756403,	 MAE = 15.40196314703432
Latent dimension = 39,	RMSE = 22.193381437108627,	 MAE = 16.14184792084729
Latent dimension = 40,	RMSE = 22.772953288655117,	 MAE = 16.905102794034146
Latent dimension = 41,	RMSE = 23.36198810140068,	 MAE = 17.69333316469221
Latent dimension = 42,	RMSE = 23.957694023050028,	 MAE = 18.484805221868882
Latent dimension = 43,	RMSE = 24.540132986856253,	 MAE = 19.244474634420005
Latent dimension = 44,	RMSE = 25.162230503114934,	 MAE = 19.980365785790266
Latent dimension = 45,	RMSE = 25.817817062147622,	 MAE = 20.632357245957948
Latent dimension = 46,	RMSE = 26.85558261912032,	 MAE = 21.588851459968577
Latent dimension = 47,	RMSE = 28.40655544822788,	 MAE = 22.928688091257158
Latent dimension = 48,	RMSE = 29.873670889503945,	 MAE = 24.21814239761877
Latent dimension = 49,	RMSE = 31.349418799543308,	 MAE = 25.627800703679195
Latent dimension = 50,	RMSE = 32.40027842537786,	 MAE = 26.910917214770798
